command,subdir,status,approved,adviser,process,process_info,process_info,process_info,process_info,process_info,process_info,process_info,process_info,process_info,process_info,cpu_times,cpu_times,cpu_times,cpu_times,cpu_times,adviser_response,adviser_response,adviser_response,pid
,,,,,,pid,memory,memory,memory,cpu,cpu,,,,cpu_times,cpu_times,cpu_times,cpu_times,cpu_times,,,,
,,,,,,,rss,vms,percent,percent,num,waitq_start_time,runq_start_time,doneq_start_time,user,system,children_user,children_system,iowait,get_worker_info,worker_resource_config,change_worker,
make COMP_MAKEARGS=GROUP3,module1/Group3/build,ok,,,"<Popen: returncode: 0 args: ['make', 'COMP_MAKEARGS=GROUP3']>",13799,2228224,3141632,0.02675174771528272,0.0,1,1741444121.8329225,1741444131.8424976,1741444146.5759344,0.0,0.0,14.81,1.14,0.0,NA,NA,NA,13799
make COMP_MAKEARGS=GROUP5,module1/Group5/build,error,,,"<Popen: returncode: 2 args: ['make', 'COMP_MAKEARGS=GROUP5']>",13810,0,0,0.0,0.0,2,1741444121.8329256,1741444132.4223738,1741444149.2748556,0.0,0.0,0.24,0.07,0.0,NA,NA,NA,13810
make COMP_MAKEARGS=GROUP7,module1/Group7/build,error,,,"<Popen: returncode: 2 args: ['make', 'COMP_MAKEARGS=GROUP7']>",13821,0,0,0.0,0.0,2,1741444121.8329282,1741444132.5000527,1741444150.3924613,0.0,0.0,0.24,0.05,0.0,NA,NA,NA,13821
make COMP_MAKEARGS=GROUP9,module1/Group9/build,ok,,,"<Popen: returncode: 0 args: ['make', 'COMP_MAKEARGS=GROUP9']>",13968,2228224,3141632,0.02675174771528272,0.0,2,1741444121.8329334,1741444146.6436472,1741444174.6599712,0.0,0.0,16.68,1.28,0.0,NA,NA,NA,13968
make COMP_MAKEARGS=GROUP8,module1/Group8/build,ok,,,"<Popen: returncode: 0 args: ['make', 'COMP_MAKEARGS=GROUP8']>",13983,2228224,3141632,0.02675174771528272,0.0,1,1741444121.8329298,1741444149.383628,1741444177.6171014,0.0,0.0,16.92,1.29,0.0,NA,NA,NA,13983
make COMP_MAKEARGS=GROUP2,module1/Group2/build,ok,,,"<Popen: returncode: 0 args: ['make', 'COMP_MAKEARGS=GROUP2']>",13994,0,0,0.0,0.0,3,1741444121.8329203,1741444150.4943597,1741444178.6228707,0.0,0.0,16.73,1.35,0.0,NA,NA,NA,13994
make COMP_MAKEARGS=GROUP6,module1/Group6/build,error,,,"<Popen: returncode: 2 args: ['make', 'COMP_MAKEARGS=GROUP6']>",14297,2228224,3141632,0.02675174771528272,0.0,3,1741444121.832927,1741444174.7790635,1741444182.2264986,0.0,0.0,0.17,0.02,0.0,NA,NA,NA,14297
make COMP_MAKEARGS=GROUP1,module1/Group1/build,ok,,,"<Popen: returncode: 0 args: ['make', 'COMP_MAKEARGS=GROUP1']>",14341,2228224,3141632,0.02675174771528272,0.0,3,1741444121.8329175,1741444177.6886032,1741444205.3504384,0.0,0.0,16.75,1.4,0.0,NA,NA,NA,14341
make COMP_MAKEARGS=GROUP4,module1/Group4/build,ok,,,"<Popen: returncode: 0 args: ['make', 'COMP_MAKEARGS=GROUP4']>",14352,2228224,3141632,0.02675174771528272,0.0,2,1741444121.832924,1741444178.7089288,1741444206.4085014,0.0,0.0,16.45,1.26,0.0,NA,NA,NA,14352
make COMP_MAKEARGS=GROUP10,module1/Group10/build,error,,,"<Popen: returncode: 2 args: ['make', 'COMP_MAKEARGS=GROUP10']>",14396,2228224,3141632,0.02675174771528272,0.0,2,1741444121.8329346,1741444182.3666298,1741444207.4677012,0.0,0.0,16.35,1.25,0.0,NA,NA,NA,14396
